id;titulo_aula;descricao;link_video;link_arquivos;resumo
1;soon oh provided;cleverly whistle save;unless;nor deliberately however;../fake-data/blob/hipster.txt
2;because uh-huh um;ill over;despite;scamper yellow;../fake-data/blob/hipster.txt
3;abscond mmm cruelty;a;screw;duh synergy;../fake-data/blob/hipster.txt
4;whether;greedily toady;slope unaccountably;concerning huzzah pulverize;../fake-data/blob/hipster.txt
5;pro;from;tender because psst;that;../fake-data/blob/hipster.txt
6;across overburden;bad outfit;than;onto emergent;../fake-data/blob/hipster.txt
7;perfectly;hose;impish;cheetah extremely jungle;../fake-data/blob/hipster.txt
8;alive;supposing;who;briefly huff;../fake-data/blob/hipster.txt
9;yippee sardonic arid;uh-huh times than;revoke except earth;yieldingly rebuild;../fake-data/blob/hipster.txt
10;hydrolyze;implode once seemingly;quietly;vivaciously;../fake-data/blob/hipster.txt
