id;rua;cep;cidade;estado
1;not awareness;inasmuch;wherever;beneath
2;accomplished personalise;oh aha in;stable meh hence;whoa
3;charm drat stealthily;honorable;certainly but;viciously yowza mob
4;so;nor;release of;deliquesce wherever
5;without vengeful that;amidst;excluding generously;kindly at
6;once;fraternise;newsprint;meanwhile
7;after throughout except;submissive tune-up blushing;vet;up
8;near iridescence;mmm yowza;sit;insecure clearly oof
9;or;for pip;poor hassle;ack whoever converse
10;ick;uh-huh bore;light scarper;commonly so
