id;nome_da_materia;ementa;referencias_bibliograficas
1;while;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;over fray;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;than abnormally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;up massive ideal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;wildly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;engage;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;recompense communicate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;funny ha officially;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;including probe huzzah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;phooey as;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
